                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                 1.8486,                 1.6495,                  1.488,                 0.2427,                0.18948,                 0.1384,                 0.0411,                 2.7246,                 2.9437,                 2.2391,              0.0009704,              0.0009704,              0.0009704
                    133,                  1.803,                 1.5705,                 1.4582,                0.20257,                0.17321,                0.11294,                0.03637,                  2.735,                  2.893,                 2.2954,             0.00096248,             0.00096248,             0.00096248
                    134,                 1.7949,                 1.5306,                 1.4395,                0.19888,                0.21016,                0.12559,                 0.0399,                 2.6888,                 2.6949,                 2.2363,             0.00095456,             0.00095456,             0.00095456
                    135,                 1.7624,                 1.5674,                 1.4375,                0.24901,                0.19861,                0.12711,                0.03793,                 2.6812,                 2.6869,                 2.1662,             0.00094664,             0.00094664,             0.00094664
                    136,                 1.8224,                 1.5764,                  1.436,                0.22083,                0.18707,                0.12351,                0.04145,                 2.7586,                 2.7342,                 2.1867,             0.00093872,             0.00093872,             0.00093872
                    137,                 1.8126,                 1.5558,                  1.442,                0.25429,                0.18938,                0.12101,                0.03517,                 2.6566,                 2.8083,                 2.2299,              0.0009308,              0.0009308,              0.0009308
                    138,                 1.8038,                  1.603,                 1.4288,                0.24503,                0.22486,                0.13857,                0.03859,                 2.6948,                 2.7071,                 2.2226,             0.00092288,             0.00092288,             0.00092288
                    139,                  1.766,                 1.5774,                 1.4441,                0.19865,                0.22171,                 0.1274,                0.03596,                 2.7158,                 2.8048,                 2.2591,             0.00091496,             0.00091496,             0.00091496
                    140,                 1.7659,                 1.4953,                 1.4171,                0.19621,                0.21247,                0.12431,                0.03413,                 2.8013,                 2.7372,                 2.3592,             0.00090704,             0.00090704,             0.00090704
                    141,                  1.763,                 1.5499,                  1.436,                0.23546,                0.17321,                0.13192,                0.03571,                 2.8295,                 2.7942,                 2.3606,             0.00089912,             0.00089912,             0.00089912
