                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    200,                      0,                      1,                      1,                      0,             0.00015417,             0.00015417,             0.00015417
                    201,                      0,                      1,                      1,                      0,             0.00015134,             0.00015134,             0.00015134
                    202,                      0,                      1,                      1,                      0,             0.00014851,             0.00014851,             0.00014851
                    203,                      0,                      1,                      1,                      0,             0.00014568,             0.00014568,             0.00014568
                    204,                      0,                      1,                      1,                      0,             0.00014286,             0.00014286,             0.00014286
                    205,                      0,                      1,                      1,                      0,             0.00014003,             0.00014003,             0.00014003
                    206,                      0,                      1,                      1,                      0,              0.0001372,              0.0001372,              0.0001372
                    207,                      0,                      1,                      1,                      0,             0.00013437,             0.00013437,             0.00013437
                    208,                      0,                      1,                      1,                      0,             0.00013155,             0.00013155,             0.00013155
                    209,                      0,                      1,                      1,                      0,             0.00012872,             0.00012872,             0.00012872
                    210,                      0,                      1,                      1,                      0,             0.00012589,             0.00012589,             0.00012589
                    211,                      0,                      1,                      1,                      0,             0.00012307,             0.00012307,             0.00012307
                    212,                      0,                      1,                      1,                      0,             0.00012024,             0.00012024,             0.00012024
                    213,                      0,                      1,                      1,                      0,             0.00011741,             0.00011741,             0.00011741
                    214,                      0,                      1,                      1,                      0,             0.00011458,             0.00011458,             0.00011458
                    215,                      0,                      1,                      1,                      0,             0.00011176,             0.00011176,             0.00011176
                    216,                      0,                      1,                      1,                      0,             0.00010893,             0.00010893,             0.00010893
                    217,                      0,                      1,                      1,                      0,              0.0001061,              0.0001061,              0.0001061
                    218,                      0,                      1,                      1,                      0,             0.00010327,             0.00010327,             0.00010327
                    219,                      0,                      1,                      1,                      0,             0.00010045,             0.00010045,             0.00010045
                    220,                      0,                      1,                      1,                      0,             9.7618e-05,             9.7618e-05,             9.7618e-05
                    221,                      0,                      1,                      1,                      0,             9.4791e-05,             9.4791e-05,             9.4791e-05
                    222,                      0,                      1,                      1,                      0,             9.1963e-05,             9.1963e-05,             9.1963e-05
                    223,                      0,                      1,                      1,                      0,             8.9136e-05,             8.9136e-05,             8.9136e-05
                    224,                      0,                      1,                      1,                      0,             8.6308e-05,             8.6308e-05,             8.6308e-05
                    225,                      0,                      1,                      1,                      0,             8.3481e-05,             8.3481e-05,             8.3481e-05
                    226,                      0,                      1,                      1,                      0,             8.0653e-05,             8.0653e-05,             8.0653e-05
                    227,                      0,                      1,                      1,                      0,             7.7826e-05,             7.7826e-05,             7.7826e-05
                    228,                      0,                      1,                      1,                      0,             7.4999e-05,             7.4999e-05,             7.4999e-05
                    229,                      0,                      1,                      1,                      0,             7.2171e-05,             7.2171e-05,             7.2171e-05
                    230,                      0,                      1,                      1,                      0,             6.9344e-05,             6.9344e-05,             6.9344e-05
                    231,                      0,                      1,                      1,                      0,             6.6516e-05,             6.6516e-05,             6.6516e-05
                    232,                      0,                      1,                      1,                      0,             6.3689e-05,             6.3689e-05,             6.3689e-05
                    233,                      0,                      1,                      1,                      0,             6.0861e-05,             6.0861e-05,             6.0861e-05
                    234,                      0,                      1,                      1,                      0,             5.8034e-05,             5.8034e-05,             5.8034e-05
                    235,                      0,                      1,                      1,                      0,             5.5206e-05,             5.5206e-05,             5.5206e-05
                    236,                      0,                      1,                      1,                      0,             5.2379e-05,             5.2379e-05,             5.2379e-05
                    237,                      0,                      1,                      1,                      0,             4.9552e-05,             4.9552e-05,             4.9552e-05
                    238,                      0,                      1,                      1,                      0,             4.6724e-05,             4.6724e-05,             4.6724e-05
                    239,                      0,                      1,                      1,                      0,             4.3897e-05,             4.3897e-05,             4.3897e-05
                    240,                      0,                      1,                      1,                      0,             4.1069e-05,             4.1069e-05,             4.1069e-05
                    241,                      0,                      1,                      1,                      0,             3.8242e-05,             3.8242e-05,             3.8242e-05
                    242,                      0,                      1,                      1,                      0,             3.5414e-05,             3.5414e-05,             3.5414e-05
                    243,                      0,                      1,                      1,                      0,             3.2587e-05,             3.2587e-05,             3.2587e-05
                    244,                      0,                      1,                      1,                      0,              2.976e-05,              2.976e-05,              2.976e-05
                    245,                      0,                      1,                      1,                      0,             2.6932e-05,             2.6932e-05,             2.6932e-05
                    246,                      0,                      1,                      1,                      0,             2.4105e-05,             2.4105e-05,             2.4105e-05
                    247,                      0,                      1,                      1,                      0,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    248,                      0,                      1,                      1,                      0,              1.845e-05,              1.845e-05,              1.845e-05
                    249,                      0,                      1,                      1,                      0,             1.5622e-05,             1.5622e-05,             1.5622e-05
                    250,                      0,                      1,                      1,                      0,             1.2795e-05,             1.2795e-05,             1.2795e-05
